Date,Wilshire5000,BofAUSCorporate
1972-12-31,1.39,100
1973-01-31,1.35,100
1973-02-28,1.29,100
1973-03-31,1.28,100.46
1973-04-30,1.22,100.46
1973-05-31,1.19,100.46
1973-06-30,1.18,100.51
1973-07-31,1.25,100.51
1973-08-31,1.21,100.51
1973-09-30,1.27,102.22
1973-10-31,1.28,102.22
1973-11-30,1.12,102.22
1973-12-31,1.13,102
1974-01-31,1.14,102
1974-02-28,1.14,102
1974-03-31,1.11,99.65
1974-04-30,1.06,99.65
1974-05-31,1.01,99.65
1974-06-30,0.99,94.48
1974-07-31,0.92,94.48
1974-08-31,0.84,94.48
1974-09-30,0.74,91.79
1974-10-31,0.87,91.79
1974-11-30,0.83,91.79
1974-12-31,0.81,97.16
1975-01-31,0.93,97.16
1975-02-28,0.99,97.16
1975-03-31,1.01,102.37
1975-04-30,1.06,102.37
1975-05-31,1.12,102.37
1975-06-30,1.18,105.81
1975-07-31,1.11,105.81
1975-08-31,1.08,105.81
1975-09-30,1.04,104.08
1975-10-31,1.1,104.08
1975-11-30,1.13,104.08
1975-12-31,1.12,112.42
1976-01-31,1.26,115.09
1976-02-29,1.27,116.35
1976-03-31,1.3,118.67
1976-04-30,1.29,118.61
1976-05-31,1.28,117.82
1976-06-30,1.33,119.65
1976-07-31,1.33,121.2
1976-08-31,1.32,123.74
1976-09-30,1.36,125.82
1976-10-31,1.33,127.08
1976-11-30,1.34,130.38
1976-12-31,1.42,133.56
1977-01-31,1.37,131.01
1977-02-28,1.35,131.09
1977-03-31,1.34,132.25
1977-04-30,1.35,133.77
1977-05-31,1.33,135.01
1977-06-30,1.4,136.96
1977-07-31,1.38,137.42
1977-08-31,1.36,139.21
1977-09-30,1.36,139.07
1977-10-31,1.31,138.52
1977-11-30,1.37,139.55
1977-12-31,1.38,138.64
1978-01-31,1.31,138.05
1978-02-28,1.29,138.39
1978-03-31,1.34,139.11
1978-04-30,1.45,139.09
1978-05-31,1.48,138.07
1978-06-30,1.47,138.4
1978-07-31,1.55,139.99
1978-08-31,1.62,142.71
1978-09-30,1.61,142.42
1978-10-31,1.44,139.83
1978-11-30,1.48,141.41
1978-12-31,1.51,139.11
1979-01-31,1.58,142.17
1979-02-28,1.55,140.97
1979-03-31,1.65,142.24
1979-04-30,1.67,141.78
1979-05-31,1.64,144.41
1979-06-30,1.73,147.58
1979-07-31,1.75,147.81
